#   t       A            B            C            D
0.216000 0.4608893609 2.4660647762 0.2100058752 -0.2675542949
0.217000 0.4633554256 2.4657627951 0.2097383209 -0.2674915477
0.218000 0.4658211884 2.4654590919 0.2094708294 -0.2674288143
0.219000 0.4682866475 2.4651537280 0.2092034006 -0.2673660947
0.220000 0.4707518013 2.4648467625 0.2089360345 -0.2673033889
0.221000 0.4732166480 2.4645382527 0.2086687311 -0.2672406969
0.222000 0.4756811863 2.4642282535 0.2084014904 -0.2671780187
0.223000 0.4781454145 2.4639168183 0.2081343124 -0.2671153542
0.224000 0.4806093313 2.4636039982 0.2078671970 -0.2670527036
0.225000 0.4830729353 2.4632898427 0.2076001443 -0.2669900667
0.226000 0.4855362252 2.4629743997 0.2073331542 -0.2669274435
0.227000 0.4879991996 2.4626577152 0.2070662268 -0.2668648342
0.228000 0.4904618573 2.4623398337 0.2067993619 -0.2668022385
0.229000 0.4929241971 2.4620207980 0.2065325597 -0.2667396567
0.230000 0.4953862179 2.4617006496 0.2062658201 -0.2666770886
0.231000 0.4978479186 2.4613794283 0.2059991430 -0.2666145343
0.232000 0.5003092980 2.4610571727 0.2057325284 -0.2665519937
0.233000 0.5027703552 2.4607339200 0.2054659764 -0.2664894669
0.234000 0.5052310891 2.4604097060 0.2051994870 -0.2664269538
0.235000 0.5076914988 2.4600845654 0.2049330600 -0.2663644545
0.236000 0.5101515834 2.4597585316 0.2046666956 -0.2663019689
0.237000 0.5126113419 2.4594316366 0.2044003936 -0.2662394971
0.238000 0.5150707735 2.4591039118 0.2041341541 -0.2661770390
0.239000 0.5175298775 2.4587753870 0.2038679771 -0.2661145946
0.240000 0.5199886528 2.4584460911 0.2036018625 -0.2660521640
0.241000 0.5224470989 2.4581160522 0.2033358103 -0.2659897471
0.242000 0.5249052150 2.4577852971 0.2030698206 -0.2659273439
0.243000 0.5273630003 2.4574538518 0.2028038932 -0.2658649545
0.244000 0.5298204541 2.4571217415 0.2025380283 -0.2658025787
0.245000 0.5322775759 2.4567889903 0.2022722257 -0.2657402167
0.246000 0.5347343649 2.4564556216 0.2020064855 -0.2656778684
0.247000 0.5371908205 2.4561216579 0.2017408076 -0.2656155339
0.248000 0.5396469421 2.4557871209 0.2014751921 -0.2655532130
0.249000 0.5421027293 2.4554520317 0.2012096388 -0.2654909059
0.250000 0.5445581813 2.4551164104 0.2009441479 -0.2654286124
0.251000 0.5470132977 2.4547802767 0.2006787193 -0.2653663327
0.252000 0.5494680780 2.4544436492 0.2004133530 -0.2653040666
0.253000 0.5519225216 2.4541065464 0.2001480489 -0.2652418143
0.254000 0.5543766282 2.4537689855 0.1998828071 -0.2651795756
0.255000 0.5568303972 2.4534309837 0.1996176275 -0.2651173507
0.256000 0.5592838282 2.4530925572 0.1993525102 -0.2650551394
0.257000 0.5617369207 2.4527537219 0.1990874550 -0.2649929419
0.258000 0.5641896744 2.4524144928 0.1988224621 -0.2649307580
0.259000 0.5666420889 2.4520748847 0.1985575313 -0.2648685878
0.260000 0.5690941638 2.4517349117 0.1982926628 -0.2648064313
0.261000 0.5715458987 2.4513945876 0.1980278563 -0.2647442884
0.262000 0.5739972933 2.4510539254 0.1977631120 -0.2646821593
0.263000 0.5764483472 2.4507129380 0.1974984299 -0.2646200438
0.264000 0.5788990602 2.4503716375 0.1972338098 -0.2645579420
0.265000 0.5813494318 2.4500300358 0.1969692519 -0.2644958538
0.266000 0.5837994618 2.4496881444 0.1967047560 -0.2644337793
0.267000 0.5862491500 2.4493459743 0.1964403223 -0.2643717185
0.268000 0.5886984960 2.4490035361 0.1961759505 -0.2643096714
0.269000 0.5911474995 2.4486608401 0.1959116409 -0.2642476379
0.270000 0.5935961603 2.4483178962 0.1956473932 -0.2641856180
0.271000 0.5960444782 2.4479747139 0.1953832076 -0.2641236118
0.272000 0.5984924529 2.4476313025 0.1951190840 -0.2640616193
0.273000 0.6009400843 2.4472876709 0.1948550224 -0.2639996404
0.274000 0.6033873719 2.4469438277 0.1945910227 -0.2639376751
0.275000 0.6058343157 2.4465997812 0.1943270851 -0.2638757235
0.276000 0.6082809155 2.4462555393 0.1940632093 -0.2638137855
0.277000 0.6107271711 2.4459111098 0.1937993956 -0.2637518612
0.278000 0.6131730822 2.4455665001 0.1935356437 -0.2636899505
0.279000 0.6156186487 2.4452217174 0.1932719537 -0.2636280534
0.280000 0.6180638704 2.4448767687 0.1930083257 -0.2635661700
0.281000 0.6205087472 2.4445316606 0.1927447595 -0.2635043001
0.282000 0.6229532788 2.4441863996 0.1924812552 -0.2634424439
0.283000 0.6253974652 2.4438409920 0.1922178128 -0.2633806014
0.284000 0.6278413062 2.4434954436 0.1919544322 -0.2633187724
0.285000 0.6302848017 2.4431497605 0.1916911134 -0.2632569571
0.286000 0.6327279514 2.4428039480 0.1914278564 -0.2631951553
0.287000 0.6351707554 2.4424580117 0.1911646613 -0.2631333672
0.288000 0.6376132134 2.4421119568 0.1909015279 -0.2630715927
0.289000 0.6400553253 2.4417657882 0.1906384563 -0.2630098318
0.290000 0.6424970911 2.4414195109 0.1903754465 -0.2629480845
0.291000 0.6449385106 2.4410731295 0.1901124984 -0.2628863508
0.292000 0.6473795838 2.4407266486 0.1898496121 -0.2628246307
0.293000 0.6498203104 2.4403800724 0.1895867874 -0.2627629242
0.294000 0.6522606905 2.4400334053 0.1893240245 -0.2627012313
0.295000 0.6547007239 2.4396866513 0.1890613233 -0.2626395520
0.296000 0.6571404105 2.4393398143 0.1887986837 -0.2625778862
0.297000 0.6595797504 2.4389928981 0.1885361058 -0.2625162341
0.298000 0.6620187433 2.4386459063 0.1882735896 -0.2624545955
0.299000 0.6644573892 2.4382988424 0.1880111350 -0.2623929705
0.300000 0.6668956880 2.4379517099 0.1877487420 -0.2623313591
0.301000 0.6693336397 2.4376045121 0.1874864107 -0.2622697613
0.302000 0.6717712442 2.4372572521 0.1872241409 -0.2622081770
0.303000 0.6742085015 2.4369099329 0.1869619327 -0.2621466063
0.304000 0.6766454114 2.4365625576 0.1866997861 -0.2620850492
0.305000 0.6790819740 2.4362151289 0.1864377011 -0.2620235056
0.306000 0.6815181891 2.4358676496 0.1861756776 -0.2619619756
0.307000 0.6839540567 2.4355201223 0.1859137156 -0.2619004592
0.308000 0.6863895769 2.4351725497 0.1856518151 -0.2618389563
0.309000 0.6888247494 2.4348249341 0.1853899762 -0.2617774669
0.310000 0.6912595744 2.4344772780 0.1851281987 -0.2617159911
0.311000 0.6936940516 2.4341295837 0.1848664827 -0.2616545289
0.312000 0.6961281812 2.4337818533 0.1846048282 -0.2615930802
0.313000 0.6985619631 2.4334340891 0.1843432351 -0.2615316451
0.314000 0.7009953972 2.4330862930 0.1840817035 -0.2614702234
0.315000 0.7034284835 2.4327384671 0.1838202333 -0.2614088154
0.316000 0.7058612219 2.4323906133 0.1835588244 -0.2613474208
0.317000 0.7082936125 2.4320427335 0.1832974770 -0.2612860398
0.318000 0.7107256553 2.4316948294 0.1830361910 -0.2612246724
0.319000 0.7131573501 2.4313469028 0.1827749663 -0.2611633184
0.320000 0.7155886970 2.4309989553 0.1825138030 -0.2611019780
0.321000 0.7180196960 2.4306509886 0.1822527010 -0.2610406511
0.322000 0.7204503469 2.4303030043 0.1819916604 -0.2609793377
0.323000 0.7228806499 2.4299550037 0.1817306810 -0.2609180378
0.324000 0.7253106049 2.4296069884 0.1814697630 -0.2608567515
0.325000 0.7277402119 2.4292589597 0.1812089062 -0.2607954787
0.326000 0.7301694709 2.4289109190 0.1809481108 -0.2607342193
0.327000 0.7325983818 2.4285628677 0.1806873765 -0.2606729735
0.328000 0.7350269447 2.4282148069 0.1804267036 -0.2606117412
0.329000 0.7374551595 2.4278667379 0.1801660918 -0.2605505224
0.330000 0.7398830262 2.4275186618 0.1799055413 -0.2604893171
0.331000 0.7423105449 2.4271705799 0.1796450520 -0.2604281252
0.332000 0.7447377155 2.4268224930 0.1793846239 -0.2603669469
0.333000 0.7471645380 2.4264744024 0.1791242569 -0.2603057821
0.334000 0.7495910124 2.4261263091 0.1788639511 -0.2602446307
0.335000 0.7520171387 2.4257782139 0.1786037065 -0.2601834929
0.336000 0.7544429169 2.4254301179 0.1783435230 -0.2601223685
0.337000 0.7568683470 2.4250820220 0.1780834006 -0.2600612576
0.338000 0.7592934290 2.4247339270 0.1778233394 -0.2600001602
0.339000 0.7617181630 2.4243858338 0.1775633392 -0.2599390763
0.340000 0.7641425488 2.4240377432 0.1773034001 -0.2598780058
0.341000 0.7665665865 2.4236896561 0.1770435221 -0.2598169488
0.342000 0.7689902762 2.4233415731 0.1767837052 -0.2597559053
0.343000 0.7714136178 2.4229934951 0.1765239493 -0.2596948752
0.344000 0.7738366113 2.4226454226 0.1762642544 -0.2596338586
0.345000 0.7762592567 2.4222973565 0.1760046205 -0.2595728555
0.346000 0.7786815540 2.4219492974 0.1757450477 -0.2595118658
0.347000 0.7811035033 2.4216012459 0.1754855358 -0.2594508895
0.348000 0.7835251046 2.4212532026 0.1752260849 -0.2593899268
0.349000 0.7859463578 2.4209051682 0.1749666950 -0.2593289774
0.350000 0.7883672630 2.4205571431 0.1747073660 -0.2592680416
0.351000 0.7907878201 2.4202091281 0.1744480980 -0.2592071191
0.352000 0.7932080292 2.4198611235 0.1741888909 -0.2591462101
0.353000 0.7956278903 2.4195131300 0.1739297447 -0.2590853146
0.354000 0.7980474035 2.4191651479 0.1736706593 -0.2590244325
0.355000 0.8004665686 2.4188171779 0.1734116349 -0.2589635638
0.356000 0.8028853858 2.4184692203 0.1731526714 -0.2589027086
0.357000 0.8053038550 2.4181212757 0.1728937686 -0.2588418667
0.358000 0.8077219763 2.4177733444 0.1726349268 -0.2587810383
0.359000 0.8101397496 2.4174254269 0.1723761457 -0.2587202234
0.360000 0.8125571751 2.4170775236 0.1721174255 -0.2586594218
0.361000 0.8149742526 2.4167296348 0.1718587661 -0.2585986337
0.362000 0.8173909822 2.4163817609 0.1716001675 -0.2585378590
0.363000 0.8198073640 2.4160339024 0.1713416296 -0.2584770977
0.364000 0.8222233979 2.4156860595 0.1710831525 -0.2584163498
0.365000 0.8246390839 2.4153382326 0.1708247362 -0.2583556153
0.366000 0.8270544222 2.4149904221 0.1705663805 -0.2582948943
0.367000 0.8294694126 2.4146426282 0.1703080856 -0.2582341866
0.368000 0.8318840552 2.4142948512 0.1700498515 -0.2581734923
0.369000 0.8342983501 2.4139470914 0.1697916780 -0.2581128115
0.370000 0.8367122972 2.4135993492 0.1695335652 -0.2580521440
0.371000 0.8391258965 2.4132516248 0.1692755130 -0.2579914899
0.372000 0.8415391481 2.4129039184 0.1690175215 -0.2579308492
0.373000 0.8439520521 2.4125562304 0.1687595907 -0.2578702219
0.374000 0.8463646083 2.4122085609 0.1685017204 -0.2578096080
0.375000 0.8487768169 2.4118609102 0.1682439108 -0.2577490075
0.376000 0.8511886778 2.4115132785 0.1679861618 -0.2576884203
0.377000 0.8536001910 2.4111656661 0.1677284734 -0.2576278465
0.378000 0.8560113567 2.4108180732 0.1674708456 -0.2575672861
0.379000 0.8584221748 2.4104704999 0.1672132783 -0.2575067391
0.380000 0.8608326453 2.4101229465 0.1669557715 -0.2574462055
0.381000 0.8632427682 2.4097754132 0.1666983253 -0.2573856852
0.382000 0.8656525436 2.4094279001 0.1664409396 -0.2573251782
0.383000 0.8680619715 2.4090804075 0.1661836145 -0.2572646847
0.384000 0.8704710520 2.4087329355 0.1659263498 -0.2572042045
0.385000 0.8728797849 2.4083854842 0.1656691456 -0.2571437376
0.386000 0.8752881704 2.4080380539 0.1654120018 -0.2570832841
0.387000 0.8776962084 2.4076906447 0.1651549186 -0.2570228440
0.388000 0.8801038991 2.4073432567 0.1648978957 -0.2569624172
0.389000 0.8825112423 2.4069958901 0.1646409333 -0.2569020038
0.390000 0.8849182382 2.4066485450 0.1643840313 -0.2568416037
0.391000 0.8873248868 2.4063012216 0.1641271897 -0.2567812169
0.392000 0.8897311880 2.4059539200 0.1638704085 -0.2567208435
0.393000 0.8921371419 2.4056066404 0.1636136876 -0.2566604834
0.394000 0.8945427485 2.4052593827 0.1633570271 -0.2566001367
0.395000 0.8969480079 2.4049121473 0.1631004270 -0.2565398033
0.396000 0.8993529201 2.4045649341 0.1628438872 -0.2564794832
0.397000 0.9017574850 2.4042177433 0.1625874077 -0.2564191764
0.398000 0.9041617028 2.4038705750 0.1623309885 -0.2563588830
0.399000 0.9065655733 2.4035234293 0.1620746297 -0.2562986029
0.400000 0.9089690968 2.4031763063 0.1618183311 -0.2562383361
0.401000 0.9113722731 2.4028292061 0.1615620927 -0.2561780826
0.402000 0.9137751023 2.4024821288 0.1613059146 -0.2561178424
0.403000 0.9161775844 2.4021350745 0.1610497968 -0.2560576156
0.404000 0.9185797195 2.4017880432 0.1607937392 -0.2559974020
0.405000 0.9209815075 2.4014410350 0.1605377418 -0.2559372018
0.406000 0.9233829486 2.4010940501 0.1602818046 -0.2558770148
0.407000 0.9257840426 2.4007470885 0.1600259276 -0.2558168412
0.408000 0.9281847897 2.4004001503 0.1597701107 -0.2557566809
