#   t       A            B            C            D
0.356000 0.8040176146 2.4185137140 0.1730162785 -0.2588988998
0.357000 0.8064359507 2.4181657703 0.1727574138 -0.2588380599
0.358000 0.8088539389 2.4178178396 0.1724986099 -0.2587772335
0.359000 0.8112715792 2.4174699222 0.1722398669 -0.2587164205
0.360000 0.8136888716 2.4171220187 0.1719811846 -0.2586556209
0.361000 0.8161058161 2.4167741294 0.1717225631 -0.2585948347
0.362000 0.8185224126 2.4164262546 0.1714640024 -0.2585340620
0.363000 0.8209386614 2.4160783949 0.1712055025 -0.2584733027
0.364000 0.8233545622 2.4157305504 0.1709470633 -0.2584125567
0.365000 0.8257701153 2.4153827217 0.1706886849 -0.2583518242
0.366000 0.8281853205 2.4150349089 0.1704303672 -0.2582911051
0.367000 0.8306001779 2.4146871125 0.1701721101 -0.2582303994
0.368000 0.8330146875 2.4143393328 0.1699139138 -0.2581697071
0.369000 0.8354288494 2.4139915700 0.1696557782 -0.2581090282
0.370000 0.8378426635 2.4136438245 0.1693977033 -0.2580483627
0.371000 0.8402561298 2.4132960965 0.1691396890 -0.2579877105
0.372000 0.8426692485 2.4129483863 0.1688817353 -0.2579270718
0.373000 0.8450820194 2.4126006942 0.1686238423 -0.2578664465
0.374000 0.8474944427 2.4122530204 0.1683660099 -0.2578058345
0.375000 0.8499065183 2.4119053652 0.1681082381 -0.2577452359
0.376000 0.8523182462 2.4115577288 0.1678505269 -0.2576846507
0.377000 0.8547296266 2.4112101114 0.1675928763 -0.2576240789
0.378000 0.8571406593 2.4108625133 0.1673352862 -0.2575635205
0.379000 0.8595513444 2.4105149347 0.1670777567 -0.2575029754
0.380000 0.8619616820 2.4101673757 0.1668202877 -0.2574424437
0.381000 0.8643716720 2.4098198367 0.1665628793 -0.2573819253
0.382000 0.8667813145 2.4094723177 0.1663055313 -0.2573214204
0.383000 0.8691906095 2.4091248189 0.1660482439 -0.2572609288
0.384000 0.8715995570 2.4087773406 0.1657910169 -0.2572004505
0.385000 0.8740081570 2.4084298829 0.1655338505 -0.2571399856
